Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3	Wilcox_p_ 1_2	Wilcox_p_ 1_3	Wilcox_p_ 2_3
Lactococcus.lactis	66.667	4.29	NS	NS	NS	NS	-0.173913043478261	-0.217391304347826	-0.0869565217391304	0.934114840358744	0.931900429498126	0.931900429498126	0.931900429498126	0.792411322729272	0.792411322729272	0.792411322729272
Lactococcus.raffinolactis	8.696	0.101	NS	NS	NS	NS	-0.0434782608695652	-0.0869565217391304	-0.0434782608695652	0.673142246428571	0.589278147870136	0.589278147870136	0.589278147870136	0.772829992684448	0.772829992684448	0.772829992684448
Leuconostoc.mesenteroides	8.696	0.333	NS	NS	NS	NS	-0.0869565217391304	-0.173913043478261	-0.0869565217391304	0.658750718012422	0.597678687301367	0.999967908672718	0.999967908672718	0.583882420770365	0.292537614534329	0.556640054284046
Merdibacter.massiliensis	27.536	1.232	NS	NS	NS	NS	0.173913043478261	0.0434782608695652	0.0869565217391304	0.967906343589744	0.850042913956755	0.850042913956755	0.850042913956755	0.928444041500591	0.928444041500591	0.928444041500591
Methanobrevibacter.smithii	18.841	2.29	NS	NS	NS	NS	0.0434782608695652	0.130434782608696	0.0434782608695652	0.465493026923077	0.263438371951139	0.263438371951139	0.675322368277947	0.421068997902744	0.421068997902744	0.587936746173566
Odoribacter.splanchnicus	84.058	11.754	NS	NS	NS	NS	0.217391304347826	0	-0.0434782608695652	0.560462808196721	0.347947179727329	0.751626024868218	0.347947179727329	0.722565866202469	0.722565866202469	0.722565866202469
Oscillibacter.sp..57_20	76.812	9.71	OK_nrc	NS	NS	Enriched	-0.0434782608695652	0.173913043478261	0.608695652173913	0.0173756319	0.0797027255024125	0.0554633290602725	0.000814006526763188	0.221294849204133	0.182611973437524	0.0129143735025579
Oscillibacter.sp..ER4	66.667	26.362	OK_nc	Decreased	NS	Enriched	-0.434782608695652	0.130434782608696	0.478260869565217	0.045036188625	0.00973923321520177	0.937094772807319	0.00791316992780975	0.0296698789527194	0.448740896811214	0.0296698789527194
Oscillibacter.sp..KLE.1728	91.304	13.493	NS	NS	NS	NS	0.217391304347826	0.130434782608696	-0.391304347826087	0.103640854285714	0.0239377760757812	0.875356890651695	0.0239377760757812	0.127728264835421	0.676218966787251	0.0781434645110326
Parabacteroides.johnsonii	14.493	3.174	OK_nrc	Enriched	NS	Decreased	0.173913043478261	0.0434782608695652	-0.173913043478261	0.0702986328	0.0103413799888759	0.876088307190889	0.0103413799888759	0.150522369693436	0.789268026134281	0.150522369693436
Parabacteroides.merdae	55.072	13.942	NS	NS	NS	NS	0	0.0869565217391304	0.304347826086957	0.805576818090452	0.706272550021509	0.914229604663456	0.706272550021509	0.683928786228966	0.801540668978666	0.371834990052488
Paraprevotella.clara	15.942	3	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	0.0869565217391304	0.353373638461538	0.11601521269422	0.11601521269422	0.952626231906784	0.634017111255953	0.634017111255953	0.853923299287067
Parasutterella.excrementihominis._C_	31.884	4.406	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	0	0.941800768141593	0.796726713720696	0.796726713720696	0.796726713720696	0.836246535037324	0.836246535037324	0.836246535037324
Phascolarctobacterium.sp..CAG.207	31.884	18.072	NS	NS	NS	NS	0.130434782608696	0.0434782608695652	-0.130434782608696	0.955082114285714	0.943825146251368	0.943825146251368	0.943825146251368	0.464443354095949	0.721814730439508	0.464443354095949
Phascolarctobacterium.succinatutens	20.29	14.391	NS	NS	NS	NS	-0.0434782608695652	0	0.0434782608695652	0.986093834567901	0.952373538746225	0.952373538746225	0.952373538746225	0.855132140584706	0.855132140584706	0.855132140584706
Porphyromonadaceae.sp.._C.Coprobacter.fastidiosus_Tannerella.sp._	55.072	5.188	NS	NS	NS	NS	0.217391304347826	0.0869565217391304	-0.0869565217391304	0.625981508333333	0.498226152765755	0.562870954873091	0.551656583043938	0.554772096828405	0.554772096828405	0.554772096828405
Prevotella.copri	34.783	101.072	NS	NS	NS	NS	-0.130434782608696	0	0.217391304347826	0.610451317391304	0.408899650217801	0.909274141581341	0.408899650217801	1	0.538427153778939	0.538427153778939
Prevotella.sp..CAG.279	37.681	35.913	NS	NS	NS	NS	-0.217391304347826	0	0.0434782608695652	0.848504155339806	0.795821553236058	0.837589777177802	0.795821553236058	0.465394706181343	0.944182513250483	0.944182513250483
Prevotella.sp..CAG.873	11.594	7.014	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	-0.0434782608695652	0.640345677707006	0.567833302392516	0.567833302392516	0.567833302392516	0.789268026134281	0.789268026134281	0.789268026134281
Propionibacterium.freudenreichii	13.043	0.333	NS	NS	NS	NS	-0.173913043478261	-0.0434782608695652	0.0869565217391304	0.345092055882353	0.111349161520465	0.294965645800454	0.279719317132216	0.269659567319351	0.443598431957837	0.443598431957837
Pseudoflavonifractor.capillosus	21.739	0.406	NS	NS	NS	NS	0.130434782608696	0	-0.173913043478261	0.571938184251969	0.390808254096473	0.769336886140753	0.390808254096473	0.644859262598856	1	0.644859262598856
Roseburia.hominis	78.261	12.232	OK_nrc	Enriched	NS	Decreased	0.565217391304348	0.304347826086957	-0.434782608695652	0.00354027087	0.000324391508295171	0.615757824183356	0.00249078985896135	0.00530692042249541	0.333353983403046	0.0195121123410965
Roseburia.intestinalis	66.667	35.725	NS	NS	NS	NS	-0.347826086956522	-0.0434782608695652	0.260869565217391	0.825065732673267	0.778688626867946	0.778688626867946	0.778688626867946	0.601252037197701	0.741137505700891	0.601252037197701
Roseburia.inulinivorans	91.304	32.101	NS	NS	NS	NS	0.260869565217391	-0.0434782608695652	-0.304347826086957	0.560975	0.342610857929211	0.851902091416857	0.342610857929211	0.206773028216323	0.889376163017829	0.238647674895079
Roseburia.sp..40_7	36.232	3.725	OK_nrc	Decreased	NS	Enriched	-0.347826086956522	0.217391304347826	0.347826086956522	0.0877743233076923	0.0184025968056235	0.753574537392236	0.0207863915299014	0.046795064599401	0.569827428596361	0.046795064599401
Roseburia.sp..CAG.182	14.493	0.522	NS	NS	NS	NS	-0.130434782608696	-0.0434782608695652	0.173913043478261	0.200743219565217	0.0363471267840523	0.33366790984074	0.066483735763624	0.204325304766851	0.684469821025155	0.204325304766851
Roseburia.sp..CAG.309	14.493	1.261	NS	NS	NS	NS	-0.130434782608696	0.0869565217391304	0.0869565217391304	0.653100758490566	0.502440626842059	0.502440626842059	0.502440626842059	0.498224853418339	0.498224853418339	0.498224853418339
Rothia.mucilaginosa	34.783	0.942	NS	NS	NS	NS	0.217391304347826	0.173913043478261	-0.130434782608696	0.287023085084746	0.0943042943216277	0.521203336294752	0.144602799119458	0.305291078200754	0.305291078200754	0.305291078200754
Ruminococcaceae.bacterium.D16	34.783	3.319	NS	NS	NS	NS	0.217391304347826	0.0434782608695652	-0.130434782608696	0.928758397260274	0.900188059534081	0.94103993638323	0.900188059534081	0.68213090816863	0.81644545383725	0.81644545383725
Ruminococcus.bicirculans	59.42	113.29	NS	NS	NS	NS	-0.173913043478261	0.173913043478261	0.260869565217391	0.534308163302752	0.353360345182533	0.61851203565973	0.29957710799883	0.365356237232365	0.210843608040459	0.210843608040459
Ruminococcus.bromii	65.217	165.159	NS	NS	NS	NS	-0.391304347826087	0.0434782608695652	0.347826086956522	0.46605684	0.18820440092096	0.894410321951643	0.18820440092096	0.119723836589182	0.670076541385612	0.119723836589182
Ruminococcus.callidus	17.391	18.797	NS	NS	NS	NS	-0.0869565217391304	0	0.130434782608696	0.203047596734694	0.0347412628925768	0.0347412628925768	0.775127096597177	0.833935414088552	0.833935414088552	0.544347623164261
Ruminococcus.lactaris	42.029	20.435	NS	NS	NS	NS	0.0434782608695652	0	-0.0434782608695652	0.986093834567901	0.968162534194644	0.968162534194644	0.968162534194644	0.890293734903717	1	0.890293734903717
Ruminococcus.sp..CAG.177	18.841	16.275	NS	NS	NS	NS	-0.173913043478261	-0.130434782608696	-0.0434782608695652	0.203047596734694	0.0484005805683637	0.121788155218061	0.433954837088603	0.221812307556456	0.26629477861823	1
Ruminococcus.sp..CAG.254	15.942	10.826	NS	NS	NS	NS	-0.0869565217391304	0.0434782608695652	0.0869565217391304	0.625981508333333	0.351869446796216	0.999662882954988	0.351869446796216	0.855132140584706	0.855132140584706	0.855132140584706
Senegalimassilia.anaerobia	49.275	4.652	NS	NS	NS	NS	-0.0869565217391304	0	0.130434782608696	0.768961117460317	0.608818157277124	0.608818157277124	0.608818157277124	0.789063599989266	0.789063599989266	0.789063599989266
Staphylococcus.sp..CAG.324	15.942	2.696	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	0.0434782608695652	0.848504155339806	0.79362632919344	0.79362632919344	0.79362632919344	0.892250486903652	0.892250486903652	0.892250486903652
Streptococcus.australis	13.043	0.159	NS	NS	NS	NS	0.130434782608696	0	-0.130434782608696	0.774331537113402	0.702680231593491	0.702680231593491	0.774803334809683	0.850106739138526	0.850106739138526	0.850106739138526
Streptococcus.mitis	28.986	0.841	NS	NS	NS	NS	0	-0.130434782608696	-0.0869565217391304	0.353373638461538	0.370369468292978	0.115635988918067	0.319651788609582	0.841103841427181	0.437760817715683	0.437760817715683
Streptococcus.oralis._C_	18.841	0.478	NS	NS	NS	NS	0.130434782608696	0.0434782608695652	-0.217391304347826	0.442879515151515	0.325816687265867	0.587164674085488	0.258270088170713	0.584135543602539	0.78353049777411	0.212279444409172
Streptococcus.parasanguinis	66.667	3.942	NS	NS	NS	NS	0.130434782608696	0.0869565217391304	0	0.848504155339806	0.721562113091024	0.950768023562727	0.721562113091024	0.660543523186521	0.660543523186521	0.660543523186521
Streptococcus.salivarius._C_	84.058	7.522	NS	NS	NS	NS	-0.217391304347826	0	0.0869565217391304	0.571938184251969	0.389698978324835	0.477473363225115	0.583921401111291	0.549525896611453	0.549525896611453	0.549525896611453
Streptococcus.sanguinis._C_	11.594	0.13	NS	NS	NS	NS	-0.0434782608695652	0	0.0434782608695652	0.88165984057971	0.721092790882203	0.721092790882203	0.721092790882203	0.824140895741885	0.824140895741885	0.824140895741885
Streptococcus.sp..F0442	13.043	0.217	NS	NS	NS	NS	-0.0434782608695652	-0.130434782608696	-0.0869565217391304	0.570527366129032	0.515599656554624	0.403828040515578	0.515599656554624	0.643525761812698	0.502638832465852	0.710346568995567
Streptococcus.sp..HSISM1	23.188	0.681	NS	NS	NS	NS	-0.130434782608696	-0.0869565217391304	0	0.595532268181818	0.409711616467563	0.536985875332794	0.513676261061871	0.619300891861642	0.619300891861642	0.619300891861642
Streptococcus.sp.._C.I.G2_I.P16_	10.145	0.203	NS	NS	NS	NS	0.0434782608695652	-0.0434782608695652	-0.0869565217391304	0.762496309677419	0.754776506326595	0.687367091995248	0.687367091995248	0.892250486903652	0.87932052160971	0.87932052160971
Streptococcus.sp.._C.infantis_mitis_	13.043	0.203	NS	NS	NS	NS	0.0869565217391304	-0.0869565217391304	-0.173913043478261	0.610451317391304	0.505349855240847	0.505349855240847	0.476585902723651	0.561094196236324	0.710346568995567	0.561094196236324
Streptococcus.thermophilus	78.261	16.275	NS	NS	NS	NS	-0.260869565217391	-0.173913043478261	0.0434782608695652	0.892354066666667	0.830577841840854	0.830577841840854	0.830577841840854	0.696556259004932	0.696556259004932	0.696556259004932
Streptococcus.vestibularis	31.884	1.072	NS	NS	NS	NS	-0.0869565217391304	0	0.173913043478261	0.971934066382979	0.938630238544	0.938630238544	0.938630238544	0.901663338353623	0.901663338353623	0.901663338353623
Subdoligranulum.sp..4_3_54A2FAA	84.058	9.522	NS	NS	NS	NS	-0.0434782608695652	-0.173913043478261	-0.173913043478261	0.322666831818182	0.875743366511772	0.107523916794859	0.107523916794859	0.944533441027689	0.16674345014284	0.16674345014284
Sutterella.sp..CAG.351	8.696	1.536	NS	NS	NS	NS	-0.0869565217391304	0	0	0.542242561061947	0.317359272072429	0.763164921323485	0.35271895192609	1	1	1
Sutterella.wadsworthensis	36.232	12.014	NS	NS	NS	NS	0.217391304347826	0.304347826086957	0.0434782608695652	0.394722160465116	0.135937698788529	0.135937698788529	0.904146402693189	0.288776358654707	0.225912400837612	1
Turicibacter.sanguinis._C_	18.841	1.058	NS	NS	NS	NS	-0.130434782608696	-0.217391304347826	-0.0434782608695652	0.200743219565217	0.157407327049097	0.054015970637619	0.591170725366505	0.205359719932117	0.125355505211766	0.930110508123606
Tyzzerella.nexilis	13.043	7.667	NS	NS	NS	NS	-0.0434782608695652	-0.0869565217391304	-0.0434782608695652	0.640345677707006	0.444618233070466	0.444618233070466	0.444618233070466	1	0.875823631155548	0.875823631155548
Veillonella.atypica._C_	36.232	1.377	NS	NS	NS	NS	0.0869565217391304	-0.0869565217391304	-0.217391304347826	0.200743219565217	0.141222277390683	0.396665523079778	0.0471911112688506	0.437406442902359	0.437406442902359	0.393601373882205
Veillonella.dispar	21.739	1.217	NS	NS	NS	NS	0.217391304347826	0	-0.260869565217391	0.586675674418605	0.357792059192993	0.736732133651258	0.357792059192993	0.667217576605605	1	0.476160943458497
Veillonella.parvula._C_	34.783	4.478	NS	NS	NS	NS	0.130434782608696	0.0869565217391304	-0.0869565217391304	0.3598149	0.133784242012008	0.879046993042659	0.133784242012008	0.595703912118438	0.719525949517896	0.595703912118438
Veillonella.sp..oral.taxon.158	23.188	0.696	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	-0.0869565217391304	0.571938184251969	0.378402576638608	0.719306923387042	0.378402576638608	1	1	0.964885345644374
X_Clostridium_.asparagiforme	37.681	1.043	NS	NS	NS	NS	0.347826086956522	0.130434782608696	-0.173913043478261	0.299572318095238	0.0815360222646399	0.199676929673866	0.451354561413358	0.0357122403381798	0.368311748199388	0.304316615593272
X_Clostridium_.citroniae	43.478	1.029	OK_nrc	Enriched	NS	NS	0.304347826086957	0.173913043478261	-0.130434782608696	0.0702986328	0.0085935009206291	0.292187071871395	0.0682642013279217	0.0626901859733933	0.227039883971132	0.227039883971132
X_Clostridium_.clostridioforme	33.333	2.377	NS	NS	NS	NS	-0.130434782608696	0.217391304347826	0.217391304347826	0.200743219565217	0.126471320041021	0.377812583874091	0.0352332785715308	0.252780437956483	0.311806363257378	0.0966116351172852
X_Clostridium_.innocuum._C.Clostridioides.difficile_	40.58	1.072	NS	NS	NS	NS	0.0869565217391304	-0.0434782608695652	-0.130434782608696	0.908891552073733	0.780847854190541	0.780847854190541	0.780847854190541	0.922644484705686	0.922644484705686	0.922644484705686
X_Clostridium_.leptum	59.42	1.884	RC	Decreased	Decreased	NS	-0.173913043478261	-0.217391304347826	0	0.0877743233076923	0.0157828893150102	0.0157828893150102	0.871756070792951	0.216753150342022	0.216753150342022	1
X_Clostridium_.methylpentosum	14.493	0.159	NS	NS	NS	NS	0.0434782608695652	0.130434782608696	0.0434782608695652	0.744713625414365	0.639690621029683	0.639690621029683	0.740492952074503	0.765594483995764	0.699113946821716	0.765594483995764
X_Clostridium_.saccharogumia	24.638	1.304	NS	NS	NS	NS	0.130434782608696	0.173913043478261	0.0434782608695652	0.12694215	0.0263572041066863	0.0284822875645239	0.733766950826993	0.204325304766851	0.204325304766851	1
X_Clostridium_.saccharolyticum._C_	13.043	0.71	NS	NS	NS	NS	-0.173913043478261	-0.130434782608696	0.0869565217391304	0.640345677707006	0.473157200179149	0.473157200179149	0.53315340256477	0.592662102885738	0.796987426208813	0.592662102885738
X_Clostridium_.scindens	33.333	0.71	OK_nc	Enriched	NS	Decreased	0.260869565217391	0.0869565217391304	-0.217391304347826	0.0826642356521739	0.0208844683329843	0.434743033922365	0.0483479188261624	0.0867469160129879	0.265205392591508	0.0867469160129879
X_Clostridium_.sp.._C.boltae_clostridioforme_	50.725	7.42	NS	NS	NS	NS	0.217391304347826	0	-0.173913043478261	0.434326465263158	0.190086220918764	0.427140270679019	0.453961595970529	0.295027468062343	0.65586821390454	0.487116053923013
X_Clostridium_.spiroforme	21.739	0.478	NS	NS	NS	NS	-0.0869565217391304	-0.173913043478261	0	0.640345677707006	0.634266708720294	0.536537377372998	0.536537377372998	0.824140895741885	0.824140895741885	0.824140895741885
X_Clostridium_.symbiosum._C_	23.188	0.681	NS	NS	NS	NS	0.217391304347826	0.130434782608696	-0.0434782608695652	0.4392786125	0.224559300673635	0.483944179219096	0.390287070024439	0.503112910809718	0.608220942070241	0.608220942070241
X_Eubacterium_.eligens	86.957	70.812	NS	NS	NS	NS	0.391304347826087	-0.0434782608695652	-0.173913043478261	0.557178020869565	0.325998157488601	0.547782399906818	0.475016296493443	0.0653109673844535	0.862011248610954	0.26672789864855
X_Eubacterium_.hallii	85.507	28.464	NS	NS	NS	NS	0.217391304347826	0.173913043478261	0.130434782608696	1	0.989074746457035	0.989074746457035	0.989074746457035	0.875691687809107	0.875691687809107	0.875691687809107
X_Eubacterium_.rectale	72.464	117.681	OK_nc	Decreased	NS	Enriched	-0.478260869565217	-0.130434782608696	0.347826086956522	0.0328495045714286	0.0029434260379542	0.501749282650554	0.00814585275645795	0.00815159211555851	0.532747799543956	0.0492060578694744
X_Eubacterium_.siraeum	39.13	25.913	NS	NS	NS	NS	0.130434782608696	0.0869565217391304	-0.0434782608695652	0.542242561061947	0.302191756882452	0.488132852019165	0.488132852019165	0.370602761257708	0.723673609831763	0.459834410069059
X_Eubacterium_.sulci	18.841	0.203	NS	NS	NS	NS	0.260869565217391	0.0434782608695652	-0.217391304347826	0.288667921	0.156398385281279	0.658408825449223	0.156398385281279	0.143003137927499	0.765594483995764	0.143003137927499
X_Ruminococcus_.gnavus	55.072	27.319	NS	NS	NS	NS	-0.130434782608696	-0.391304347826087	-0.217391304347826	0.207422038823529	0.487685904507412	0.0603990358649703	0.136821445073635	0.794445642117826	0.0680115784475081	0.12352832257921
X_Ruminococcus_.torques	75.362	33.029	NS	NS	NS	NS	0.0434782608695652	-0.478260869565217	-0.217391304347826	0.431378458064516	0.72406388121821	0.25469242574531	0.229436103670806	0.532789272835133	0.0920922097876299	0.0920922097876299
X_Ruminococcus_.torques._C_	72.464	47.609	NS	NS	NS	NS	0	-0.304347826086957	-0.0869565217391304	0.3598149	0.342479071048406	0.342479071048406	0.127927496957445	0.48587269798139	0.405764371531824	0.405764371531824
bacterium.LF.3	72.464	19	OK_nrc	NS	NS	Decreased	0.217391304347826	-0.173913043478261	-0.521739130434783	0.0328495045714286	0.0928958317993099	0.0928958317993099	0.00191891875954983	0.227320163062963	0.22118574454626	0.00682335493797341
butyrate.producing.bacterium.SS3_4	85.507	7.101	NS	NS	NS	NS	-0.347826086956522	0.130434782608696	0.478260869565217	0.321377049230769	0.090753557467588	0.978897066561511	0.090753557467588	0.177410745208623	0.589162539128985	0.0837306587700891
candidatus.Alistipes.marseilloanorexicus	49.275	4.072	NS	NS	NS	NS	-0.0434782608695652	0.0869565217391304	0.217391304347826	0.353373638461538	0.187191349093446	0.648712697351277	0.149748709460183	0.341917391019467	0.906257585986684	0.224806724158363
candidatus.Saccharibacteria.oral.taxon.TM7x	10.145	0.159	NS	NS	NS	NS	-0.0434782608695652	-0.173913043478261	-0.130434782608696	0.733189196666667	0.805786456581631	0.999957778146758	0.999957778146758	0.409846729368463	0.223372009768148	0.223372009768148
unassigned	100	127.493	NS	NS	NS	NS	0.0434782608695652	-0.0434782608695652	-0.0869565217391304	0.78115227106599	0.676731983457735	0.676731983457735	0.676731983457735	0.861107814543149	0.90156877040863	0.987047795057722
uncultured.Clostridium.sp.	49.275	1.681	NS	NS	NS	NS	-0.217391304347826	0.0434782608695652	0.130434782608696	0.640345677707006	0.528029637234786	0.712911512619741	0.528029637234786	0.590026975377762	0.916179847079119	0.590026975377762
uncultured.Eubacterium.sp.	56.522	1.812	NS	NS	NS	NS	-0.0869565217391304	-0.0869565217391304	0.260869565217391	0.640345677707006	0.54154190614619	0.652187504539829	0.54154190614619	0.504003363277144	0.937172103838084	0.504003363277144
unknown.Acinetobacter	21.739	8.42	NS	NS	NS	NS	0	0.173913043478261	0.0434782608695652	0.640345677707006	0.574284014550122	0.548426288110564	0.574284014550122	0.589638551626567	0.177516203477578	0.589638551626567
unknown.Akkermansia	17.391	4.855	NS	NS	NS	NS	0	0	-0.0869565217391304	0.640345677707006	0.47573065275158	0.47573065275158	0.47573065275158	1	1	1
unknown.Alistipes	43.478	28.435	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	0.0434782608695652	0.892354066666667	0.837229226580997	0.945786564858035	0.837229226580997	0.964541384555568	0.964541384555568	0.964541384555568
unknown.Anaeromassilibacillus	56.522	1.145	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	0.217391304347826	0.560462808196721	0.339025855716977	0.463270848664387	0.463270848664387	0.655240992840809	1	0.655240992840809
unknown.Atopobiaceae	24.638	1.609	NS	NS	NS	NS	-0.173913043478261	0.0869565217391304	0.217391304347826	0.341721023283582	0.157592773923626	0.561119944876441	0.104493753339297	0.431681085231225	0.461838018150638	0.221502945484368
unknown.Azospirillum	23.188	15.391	NS	NS	NS	NS	0.0869565217391304	0.0869565217391304	-0.0434782608695652	0.774331537113402	0.616329052211917	0.616329052211917	0.894591967638247	1	1	1
unknown.Bacilli	31.884	0.913	NS	NS	NS	NS	0.0434782608695652	-0.0869565217391304	-0.130434782608696	0.62511949787234	0.999999999550474	0.314884076088032	0.314884076088032	1	0.79126542505825	0.79126542505825
unknown.Bacteria	24.638	6.667	NS	NS	NS	NS	0	0.260869565217391	0.260869565217391	0.120514209677419	0.925509940338543	0.0260021425894753	0.0260021425894753	1	0.391425694271975	0.391425694271975
unknown.Bacteroidales	78.261	19.725	NS	NS	NS	NS	-0.130434782608696	0.0869565217391304	-0.0434782608695652	0.934114840358744	0.950012732009684	0.950012732009684	0.950012732009684	1	1	1
unknown.Burkholderiales	28.986	15.188	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	0.130434782608696	0.774331537113402	0.724425753081231	0.724425753081231	0.724425753081231	0.86553432515616	0.86553432515616	0.86553432515616
unknown.Butyricicoccus	97.101	19.13	NS	NS	NS	NS	0.0869565217391304	0.130434782608696	0.260869565217391	0.892354066666667	0.779532885964034	0.779532885964034	0.779532885964034	0.845483924970382	0.845483924970382	0.501108275530437
unknown.Clostridia	15.942	0.754	NS	NS	NS	NS	-0.0869565217391304	-0.0434782608695652	0.0869565217391304	0.768961117460317	0.683123498210226	0.806246312455584	0.683123498210226	0.865295004328833	0.865295004328833	0.865295004328833
unknown.Clostridiaceae	23.188	0.855	NS	NS	NS	NS	-0.217391304347826	-0.0869565217391304	0.173913043478261	0.121884607058824	0.0208142149800201	0.179971093344048	0.179971093344048	0.361310428526179	0.361310428526179	0.361310428526179
unknown.Clostridiales	100	656.116	NS	NS	NS	NS	0.304347826086957	0.478260869565217	-0.217391304347826	0.605395168656716	0.418023687407423	0.418023687407423	0.738570950939632	0.145322799682617	0.186758728223802	0.31455397605896
unknown.Clostridiales.Family.XIII..Incertae.Sedis	21.739	0.986	OK_nrc	Decreased	Decreased	NS	-0.130434782608696	-0.173913043478261	-0.0434782608695652	4.9296678e-08	7.51691971562671e-06	7.51691971562671e-06	0.797243669423487	0.113105344306895	0.113105344306895	0.772829992684448
unknown.Clostridium	92.754	60.043	NS	NS	NS	NS	0	0.304347826086957	0.260869565217391	0.560462808196721	0.923430868240403	0.281858917826604	0.281858917826604	0.807599136052584	0.175384331620529	0.160140196109536
unknown.Collinsella	26.087	1.275	NS	NS	NS	NS	0.0869565217391304	0.0869565217391304	-0.0869565217391304	0.986093834567901	0.94613067045816	0.94613067045816	0.94613067045816	1	1	1
unknown.Coprococcus	30.435	33.478	NS	NS	NS	NS	0	0.130434782608696	0.0869565217391304	0.986093834567901	0.98382553455554	0.98382553455554	0.98382553455554	0.833433620222324	0.614681681449136	0.833433620222324
unknown.Dehalococcoidales	15.942	12	NS	NS	NS	NS	0	0.0869565217391304	0.0869565217391304	0.452552803960396	0.75344189799077	0.165951190629251	0.165951190629251	0.855132140584706	0.855132140584706	0.855132140584706
unknown.Dialister	10.145	0.319	NS	NS	NS	NS	-0.217391304347826	-0.217391304347826	0.0434782608695652	0.261217654615385	0.0679148034599155	0.0679148034599155	0.741568466876395	0.086860898125946	0.086860898125946	1
unknown.Eggerthella	44.928	4.768	NS	NS	NS	NS	-0.130434782608696	-0.260869565217391	0.0869565217391304	0.509695446728972	0.211352428990478	0.211352428990478	0.986696749701869	0.558785656510347	0.3185253810853	0.918707405428289
unknown.Eggerthellaceae	49.275	5.957	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	-0.0434782608695652	0.959193803433476	0.96782523639744	0.96782523639744	0.96782523639744	0.823582997288043	0.823582997288043	0.823582997288043
unknown.Erysipelotrichaceae	20.29	8.377	NS	NS	NS	NS	-0.130434782608696	-0.0869565217391304	0.0434782608695652	0.560462808196721	0.348702515422602	0.736310017883162	0.348702515422602	0.785494747118354	0.785494747118354	0.785494747118354
unknown.Eubacterium	76.812	11.406	NS	NS	NS	NS	-0.434782608695652	-0.130434782608696	-0.0434782608695652	0.727608355307263	0.671584574345406	0.671584574345406	0.671584574345406	0.170160686256713	0.355685660642599	0.983925613850231
unknown.Faecalibacterium	78.261	140.072	NS	NS	NS	NS	0.391304347826087	0.391304347826087	0.173913043478261	0.542242561061947	0.605737382214688	0.337649765995987	0.380502894911637	0.212814435559935	0.212814435559935	0.542057255832271
unknown.Firmicutes	86.957	93.275	NS	NS	NS	NS	-0.217391304347826	0.0869565217391304	0.0434782608695652	0.761646081521739	0.638863808891242	0.835777653147923	0.638863808891242	0.562753002640601	0.562753002640601	0.562753002640601
unknown.Lachnospiraceae	94.203	85.391	NS	NS	NS	NS	-0.260869565217391	0.260869565217391	0.217391304347826	0.662982828220859	0.520039321725849	0.739807434458402	0.520039321725849	0.448133032263507	0.696803404023159	0.19716491915348
unknown.Lactobacillales	37.681	0.464	NS	NS	NS	NS	0.173913043478261	0	-0.130434782608696	0.658750718012422	0.650713920827379	0.663063078187631	0.650713920827379	0.733129529871831	0.824407239075449	0.531816176475051
unknown.Lentisphaerae	20.29	0.609	NS	NS	NS	NS	0.0869565217391304	-0.0434782608695652	-0.304347826086957	0.147122047894737	0.765539179379225	0.0298291747628938	0.0291982900618917	0.671566431728082	0.614770094052695	0.060410254651039
unknown.Mogibacterium	18.841	0.493	NS	NS	NS	NS	-0.0869565217391304	-0.0869565217391304	-0.0869565217391304	0.347629312285714	0.19246601907709	0.178715647376702	0.607778353766619	0.423710797166793	0.423710797166793	0.423710797166793
unknown.Olsenella	17.391	0.348	NS	NS	NS	NS	0	-0.0869565217391304	-0.0869565217391304	0.640345677707006	0.82720050018634	0.391747505247706	0.391747505247706	1	0.871068243283538	0.80788241015921
unknown.Oscillibacter	76.812	18.319	NS	NS	NS	NS	0.260869565217391	0.260869565217391	-0.0869565217391304	0.542242561061947	0.402649676820379	0.295117937285827	0.402649676820379	0.392860203835474	0.392860203835474	0.775666920525044
unknown.Pasteurellaceae	14.493	0.348	NS	NS	NS	NS	0.0434782608695652	0	-0.0869565217391304	0.892354066666667	0.867256202850592	0.916666894442195	0.867256202850592	1	1	1
unknown.Peptostreptococcaceae	72.464	10.232	NS	NS	NS	NS	-0.347826086956522	0.130434782608696	0.478260869565217	0.200743219565217	0.0438061735084409	0.889597019941884	0.0438061735084409	0.188589133581968	0.830983469869887	0.117931589406617
unknown.Prevotella	37.681	161.797	NS	NS	NS	NS	-0.217391304347826	0	0.130434782608696	0.62511949787234	0.415151385962443	0.655235396163271	0.415151385962443	0.213552274053773	1	0.213552274053773
